Yahoo_Ticker,Ticker,Name,Sector,Country,Currency_Yahoo
NUE,NUE,Nucor Corp.,Materials,USA,EURUSD=X
NVDA,NVDA,Nvidia Corporation,Information Technology,USA,EURUSD=X
NVR,NVR,NVR Inc,Consumer Discretionary,USA,EURUSD=X
ORLY,ORLY,O'Reilly Automotive,Consumer Discretionary,USA,EURUSD=X
OXY,OXY,Occidental Petroleum,Energy,USA,EURUSD=X
ODFL,ODFL,Old Dominion Freight Line,Industrials,USA,EURUSD=X
OMC,OMC,Omnicom Group,Communication Services,USA,EURUSD=X
OKE,OKE,ONEOK,Energy,USA,EURUSD=X
ORCL,ORCL,Oracle Corp.,Information Technology,USA,EURUSD=X
PCAR,PCAR,PACCAR Inc.,Industrials,USA,EURUSD=X
PKG,PKG,Packaging Corporation of America,Materials,USA,EURUSD=X
PH,PH,Parker-Hannifin,Industrials,USA,EURUSD=X
PAYX,PAYX,Paychex Inc.,Information Technology,USA,EURUSD=X
PAYC,PAYC,Paycom,Information Technology,USA,EURUSD=X
PYPL,PYPL,PayPal,Information Technology,USA,EURUSD=X
PNR,PNR,Pentair plc,Industrials,USA,EURUSD=X
PBCT,PBCT,People's United Financial,Financials,USA,EURUSD=X
PEP,PEP,PepsiCo Inc.,Consumer Staples,USA,EURUSD=X
PKI,PKI,PerkinElmer,Health Care,USA,EURUSD=X
PRGO,PRGO,Perrigo,Health Care,USA,EURUSD=X
PFE,PFE,Pfizer Inc.,Health Care,USA,EURUSD=X
PM,PM,Philip Morris International,Consumer Staples,USA,EURUSD=X
PSX,PSX,Phillips 66,Energy,USA,EURUSD=X
PNW,PNW,Pinnacle West Capital,Utilities,USA,EURUSD=X
PXD,PXD,Pioneer Natural Resources,Energy,USA,EURUSD=X
PNC,PNC,PNC Financial Services,Financials,USA,EURUSD=X
PPG,PPG,PPG Industries,Materials,USA,EURUSD=X
PPL,PPL,PPL Corp.,Utilities,USA,EURUSD=X
PFG,PFG,Principal Financial Group,Financials,USA,EURUSD=X
PG,PG,Procter & Gamble,Consumer Staples,USA,EURUSD=X
PGR,PGR,Progressive Corp.,Financials,USA,EURUSD=X
PLD,PLD,Prologis,Real Estate,USA,EURUSD=X
PRU,PRU,Prudential Financial,Financials,USA,EURUSD=X
PEG,PEG,Public Serv. Enterprise Inc.,Utilities,USA,EURUSD=X
PSA,PSA,Public Storage,Real Estate,USA,EURUSD=X
PHM,PHM,PulteGroup,Consumer Discretionary,USA,EURUSD=X
PVH,PVH,PVH Corp.,Consumer Discretionary,USA,EURUSD=X
QRVO,QRVO,Qorvo,Information Technology,USA,EURUSD=X
PWR,PWR,Quanta Services Inc.,Industrials,USA,EURUSD=X
QCOM,QCOM,QUALCOMM Inc.,Information Technology,USA,EURUSD=X
DGX,DGX,Quest Diagnostics,Health Care,USA,EURUSD=X
RL,RL,Ralph Lauren Corporation,Consumer Discretionary,USA,EURUSD=X
RJF,RJF,Raymond James Financial Inc.,Financials,USA,EURUSD=X
RTX,RTX,Raytheon Co.,Industrials,USA,EURUSD=X
O,O,Realty Income Corporation,Real Estate,USA,EURUSD=X
REG,REG,Regency Centers Corporation,Real Estate,USA,EURUSD=X
